loinc_num,query_id,N,relevance
4671-4,bilirubin_plasma,1,0
18998-5,bilirubin_plasma,0,0
54439-5,bilirubin_plasma,1,0
1920-8,bilirubin_plasma,1,0
2085-9,bilirubin_plasma,1,0
1995-0,bilirubin_plasma,1,0
33870-7,bilirubin_plasma,1,0
1988-5,bilirubin_plasma,1,0
934-0,white_blood_cells_count,1,0
933-2,white_blood_cells_count,1,0
925-8,white_blood_cells_count,1,0
890-4,white_blood_cells_count,1,1
883-9,white_blood_cells_count,1,0
882-1,white_blood_cells_count,1,0
8310-5,white_blood_cells_count,0,0
74774-1,white_blood_cells_count,1,0
6768-6,white_blood_cells_count,1,0
54439-5,white_blood_cells_count,0,0
4671-4,white_blood_cells_count,1,0
35192-4,white_blood_cells_count,1,0
35184-1,white_blood_cells_count,1,0
33870-7,white_blood_cells_count,0,0
31100-1,white_blood_cells_count,1,0
3082-5,white_blood_cells_count,1,0
30522-7,white_blood_cells_count,1,0
29265-6,white_blood_cells_count,1,0
26484-6,white_blood_cells_count,2,1
26478-8,white_blood_cells_count,2,1
26474-7,white_blood_cells_count,2,1
26464-8,white_blood_cells_count,2,1
23658-8,white_blood_cells_count,0,0
2143-6,white_blood_cells_count,1,0
2132-9,white_blood_cells_count,1,0
2111-3,white_blood_cells_count,1,0
2093-3,white_blood_cells_count,1,0
2085-9,white_blood_cells_count,1,0
2075-0,white_blood_cells_count,1,0
2069-3,white_blood_cells_count,1,0
20629-2,white_blood_cells_count,0,0
20565-8,white_blood_cells_count,1,0
20442-0,white_blood_cells_count,1,0
2039-6,white_blood_cells_count,1,0
2028-9,white_blood_cells_count,1,0
1995-0,white_blood_cells_count,1,0
1994-3,white_blood_cells_count,1,0
1988-5,white_blood_cells_count,1,0
1975-2,white_blood_cells_count,1,0
1971-1,white_blood_cells_count,1,0
1968-7,white_blood_cells_count,1,0
1959-6,white_blood_cells_count,1,0
1920-8,white_blood_cells_count,1,0
19080-1,white_blood_cells_count,1,0
19000-9,white_blood_cells_count,0,0
18998-5,white_blood_cells_count,0,0
18955-5,white_blood_cells_count,0,0
18928-2,white_blood_cells_count,0,0
18906-8,white_blood_cells_count,0,0
18878-9,white_blood_cells_count,0,0
18865-6,white_blood_cells_count,0,0
18864-9,white_blood_cells_count,0,0
1798-8,white_blood_cells_count,1,0
17861-6,white_blood_cells_count,1,0
1759-0,white_blood_cells_count,1,0
1751-7,white_blood_cells_count,1,0
1742-6,white_blood_cells_count,1,0
15076-3,white_blood_cells_count,0,0
14764-5,white_blood_cells_count,1,0
14749-6,white_blood_cells_count,1,0
14747-0,white_blood_cells_count,0,0
14578-9,white_blood_cells_count,1,0
14423-8,white_blood_cells_count,0,0
13317-3,white_blood_cells_count,0,0
1250-0,white_blood_cells_count,1,0
10331-7,white_blood_cells_count,1,0
1003-3,white_blood_cells_count,1,0
29265-6,calcium_blood,2,1
1995-0,calcium_blood,2,1
1994-3,calcium_blood,2,1
17861-6,calcium_blood,2,1
74774-1,calcium_blood,1,0
35184-1,calcium_blood,1,0
14764-5,calcium_blood,1,0
14749-6,calcium_blood,1,0
934-0,calcium_blood,1,0
933-2,calcium_blood,1,0
925-8,calcium_blood,1,0
890-4,calcium_blood,1,0
883-9,calcium_blood,1,0
882-1,calcium_blood,1,0
8310-5,calcium_blood,0,0
6768-6,calcium_blood,1,0
54439-5,calcium_blood,0,0
4671-4,calcium_blood,1,0
35192-4,calcium_blood,1,0
33870-7,calcium_blood,0,0
31100-1,calcium_blood,1,0
3082-5,calcium_blood,1,0
30522-7,calcium_blood,1,0
26484-6,calcium_blood,1,0
26478-8,calcium_blood,1,0
26474-7,calcium_blood,1,0
26464-8,calcium_blood,1,0
23658-8,calcium_blood,0,0
2143-6,calcium_blood,1,0
2132-9,calcium_blood,1,0
2111-3,calcium_blood,1,0
2093-3,calcium_blood,1,0
2085-9,calcium_blood,1,0
2075-0,calcium_blood,1,0
2069-3,calcium_blood,1,0
20629-2,calcium_blood,0,0
20565-8,calcium_blood,1,0
20442-0,calcium_blood,1,0
2039-6,calcium_blood,1,0
2028-9,calcium_blood,1,0
1988-5,calcium_blood,1,0
1975-2,calcium_blood,1,0
1971-1,calcium_blood,1,0
1968-7,calcium_blood,1,0
1959-6,calcium_blood,1,0
1920-8,calcium_blood,1,0
19080-1,calcium_blood,1,0
19000-9,calcium_blood,0,0
18998-5,calcium_blood,0,0
18955-5,calcium_blood,0,0
18928-2,calcium_blood,0,0
18906-8,calcium_blood,0,0
18878-9,calcium_blood,0,0
18865-6,calcium_blood,0,0
18864-9,calcium_blood,0,0
1798-8,calcium_blood,1,0
1759-0,calcium_blood,1,0
1751-7,calcium_blood,1,0
1742-6,calcium_blood,1,0
15076-3,calcium_blood,0,0
14747-0,calcium_blood,0,0
14578-9,calcium_blood,1,0
14423-8,calcium_blood,0,0
13317-3,calcium_blood,0,0
1250-0,calcium_blood,0,0
10331-7,calcium_blood,1,0
1003-3,calcium_blood,1,0
29265-6,albumin_blood,2,0
1995-0,albumin_blood,1,0
1994-3,albumin_blood,1,0
17861-6,albumin_blood,1,0
74774-1,albumin_blood,1,0
35184-1,albumin_blood,1,0
14764-5,albumin_blood,1,0
14749-6,albumin_blood,1,0
934-0,albumin_blood,1,0
933-2,albumin_blood,1,0
925-8,albumin_blood,1,0
890-4,albumin_blood,1,0
883-9,albumin_blood,1,0
882-1,albumin_blood,1,0
8310-5,albumin_blood,0,0
6768-6,albumin_blood,1,0
54439-5,albumin_blood,0,0
4671-4,albumin_blood,1,0
35192-4,albumin_blood,1,0
33870-7,albumin_blood,0,0
31100-1,albumin_blood,1,0
3082-5,albumin_blood,1,0
30522-7,albumin_blood,1,0
26484-6,albumin_blood,1,0
26478-8,albumin_blood,1,0
26474-7,albumin_blood,1,0
26464-8,albumin_blood,1,0
23658-8,albumin_blood,0,0
2143-6,albumin_blood,1,0
2132-9,albumin_blood,1,0
2111-3,albumin_blood,1,0
2093-3,albumin_blood,1,0
2085-9,albumin_blood,1,0
2075-0,albumin_blood,1,0
2069-3,albumin_blood,1,0
20629-2,albumin_blood,0,0
20565-8,albumin_blood,1,0
20442-0,albumin_blood,1,0
2039-6,albumin_blood,1,0
2028-9,albumin_blood,1,0
1988-5,albumin_blood,1,0
1975-2,albumin_blood,1,0
1971-1,albumin_blood,1,0
1968-7,albumin_blood,2,0
1959-6,albumin_blood,1,0
1920-8,albumin_blood,1,0
19080-1,albumin_blood,1,0
19000-9,albumin_blood,0,0
18998-5,albumin_blood,0,0
18955-5,albumin_blood,0,0
18928-2,albumin_blood,0,0
18906-8,albumin_blood,0,0
18878-9,albumin_blood,0,0
18865-6,albumin_blood,0,0
18864-9,albumin_blood,0,0
1798-8,albumin_blood,1,0
1759-0,albumin_blood,2,1
1751-7,albumin_blood,2,1
1742-6,albumin_blood,1,0
15076-3,albumin_blood,0,0
14747-0,albumin_blood,0,0
14578-9,albumin_blood,1,0
14423-8,albumin_blood,0,0
13317-3,albumin_blood,0,0
1250-0,albumin_blood,0,0
10331-7,albumin_blood,1,0
1003-3,albumin_blood,1,0
