loinc_num,query_id,composite_clue,TF,IDF,is_in_component,is_in_system,relevance
2075-0,white_blood_cells_count,blood,2,"0,127",0,1,0
2069-3,white_blood_cells_count,blood,1,"0,127",0,1,0
20565-8,white_blood_cells_count,blood,1,"0,127",0,1,0
20442-0,white_blood_cells_count,blood,1,"0,127",0,1,0
2039-6,white_blood_cells_count,blood,2,"0,127",0,1,0
2028-9,white_blood_cells_count,blood,2,"0,127",0,1,0
1995-0,white_blood_cells_count,blood,2,"0,127",0,1,0
1994-3,white_blood_cells_count,blood,1,"0,127",0,1,0
1988-5,white_blood_cells_count,blood,2,"0,127",0,1,0
1975-2,white_blood_cells_count,blood,2,"0,127",0,1,0
1971-1,white_blood_cells_count,blood,2,"0,127",0,1,0
1968-7,white_blood_cells_count,blood,2,"0,127",0,1,0
1959-6,white_blood_cells_count,blood,1,"0,127",0,1,0
1920-8,white_blood_cells_count,blood,2,"0,127",0,1,0
19080-1,white_blood_cells_count,blood,2,"0,127",0,1,0
1798-8,white_blood_cells_count,blood,2,"0,127",0,1,0
17861-6,white_blood_cells_count,blood,2,"0,127",0,1,0
1759-0,white_blood_cells_count,blood,2,"0,127",0,1,0
1751-7,white_blood_cells_count,blood,2,"0,127",0,1,0
1742-6,white_blood_cells_count,blood,2,"0,127",0,1,0
14764-5,white_blood_cells_count,blood,2,"0,127",0,1,0
14749-6,white_blood_cells_count,blood,2,"0,127",0,1,0
14578-9,white_blood_cells_count,blood,2,"0,127",0,1,0
1250-0,white_blood_cells_count,blood,0,"0,127",0,1,0
10331-7,white_blood_cells_count,blood,1,"0,127",0,1,0
1003-3,white_blood_cells_count,blood,2,"0,127",0,1,0
